nome_cientifico,reino,filo,classe,ordem,familia,genero,grupo_taxonomico
Loxosceles troglobia,Animalia,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,aracnideos
Leporinus guttatus,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae,Leporinus,peixes
Myrmotherula fluminensis,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Myrmotherula,aves
Mycteroperca bonaci,Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,Mycteroperca,peixes
Cambeva igobi,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Cambeva,peixes
Melanophryniscus formosus,Animalia,Chordata,Amphibia,Anura,Bufonidae,Melanophryniscus,anfibios
Friesea noronhaensis,Animalia,Arthropoda,Entognatha,Collembola,Neanuridae,Friesea,outros
Ischnocnema garciai,Animalia,Chordata,Amphibia,Anura,Brachycephalidae,Ischnocnema,anfibios
Glossoscolex lutocolus,Animalia,Annelida,Clitellata,Haplotaxida,Glossoscolecidae,Glossoscolex,outros
Ituglanis ramiroi,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Ituglanis,peixes
Trogolaphysa aelleni,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Paronellidae,Trogolaphysa,outros
Sporophila melanogaster,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Sporophila,aves
Leptopanchax opalescens,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Leptopanchax,peixes
Coarazuphium ricardoi,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Coarazuphium,insetos
Eukoenenia spelunca,Animalia,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Eukoenenia,aracnideos
Relictopiolus galadriel,Animalia,Arthropoda,Arachnida,Opiliones,Kimulidae,Relictopiolus,aracnideos
Brycon vermelha,Animalia,Chordata,Actinopterygii,Characiformes,Bryconidae,Brycon,peixes
Ditaxodon taeniatus,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Ditaxodon,repteis
Onychorhynchus swainsoni,Animalia,Chordata,Aves,Passeriformes,Onychorhynchidae,Onychorhynchus,aves
Cryptops spelaeoraptor,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Cryptopidae,Cryptops,outros
Falsocaenia santatereza,Animalia,Arthropoda,Insecta,Coleoptera,Lycidae,Falsocaenia,insetos
Anablepsoides cearensis,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Anablepsoides,peixes
Anisolepis undulatus,Animalia,Chordata,Reptilia,Squamata,Leiosauridae,Anisolepis,repteis
Dysithamnus plumbeus,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Dysithamnus,aves
Thespieus maacki,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Thespieus,insetos
Brycon orbignyanus,Animalia,Chordata,Actinopterygii,Characiformes,Bryconidae,Brycon,peixes
Parotocinclus seridoensis,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Parotocinclus,peixes
Brycon dulcis,Animalia,Chordata,Actinopterygii,Characiformes,Bryconidae,Brycon,peixes
Aegla camargoi,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Glaucomastix itabaianensis,Animalia,Chordata,Reptilia,Squamata,Teiidae,Glaucomastix,repteis
Crypturellus zabele,Animalia,Chordata,Aves,Tinamiformes,Tinamidae,Crypturellus,aves
Touit melanonotus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Touit,aves
Anabazenops dorsalis,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Anabazenops,aves
Amphisbaena bahiana,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Spaeleoleptes spaeleus,Animalia,Arthropoda,Arachnida,Opiliones,Escadabiidae,Spaeleoleptes,aracnideos
Arremonops conirostris,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Arremonops,aves
Baryancistrus longipinnis,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Baryancistrus,peixes
Balaenoptera musculus,Animalia,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera,mamiferos
Chrysocyon brachyurus,Animalia,Chordata,Mammalia,Carnivora,Canidae,Chrysocyon,mamiferos
Stenocercus azureus,Animalia,Chordata,Reptilia,Squamata,Tropiduridae,Stenocercus,repteis
Glomeridesmus spelaeus,Animalia,Arthropoda,Diplopoda,Glomeridesmida,Glomerodesmidae,Glomeridesmus,outros
Ybyrapora gamba,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Ybyrapora,aracnideos
Anomaloglossus tepequem,Animalia,Chordata,Amphibia,Anura,Aromobatidae,Anomaloglossus,anfibios
Saimiri vanzolinii,Animalia,Chordata,Mammalia,Primates,Cebidae,Saimiri,mamiferos
Ateles chamek,Animalia,Chordata,Mammalia,Primates,Atelidae,Ateles,mamiferos
Pseudosinella paraensis,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Entomobryidae,Pseudosinella,outros
Lonchophylla dekeyseri,Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Lonchophylla,mamiferos
Haasica balzani,Animalia,Mollusca,Bivalvia,Unionida,Mycetopodidae,Haasica,moluscos
Aegla leptochela,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Camelobaetidius maranhensis,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,Camelobaetidius,insetos
Penelope pileata,Animalia,Chordata,Aves,Galliformes,Cracidae,Penelope,aves
Ridleyconcha quinquelirata,Animalia,Mollusca,Gastropoda,Pulmonata,Scolodontidae,Ridleyconcha,moluscos
Touit surdus,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Touit,aves
