nome_cientifico,taxon_id_icmbio,consta_lista_ameacada,dado_sensivel
Epiperipatus paurognostus,2026425,True,False
Pseudochthonius koinopoliteia,2303612,True,False
Sparisoma amplum,14279,True,False
Trichomycterus itacarambiensis,335222,True,False
Atelocynus microtis,17454,True,False
Spelaeogammarus bahiensis,2028034,True,False
Hippocampus patagonicus,1630617,True,True
Brachycephalus pernix,1106826,True,False
Currhaeus polegattoi,2303219,True,False
Circoniscus mendesi,2304252,True,False
Spelaeogammarus titan,2028035,True,False
Ituglanis passensis,334303,True,False
Camelobaetidius juparana,2024820,True,False
Coendou speratus,2026140,True,False
Hypsolebias radiseriatus,2025474,True,False
Megalobulimus cardosoi,2303443,True,False
Hypsolebias nielseni,2025466,True,False
Hypsolebias auratus,2025440,True,False
Callicebus barbarabrownae,1465214,True,False
Charadrius wilsonia,6956,True,False
Penelope superciliaris alagoensis,2025830,True,False
Lagothrix lagothricha,2026088,True,False
Stegastes sanctipauli,525998,True,False
Melanophryniscus montevidensis,217774,True,False
Sphyrna zygaena,1011600,True,False
Pararrhopalites ubiquum,2300101,True,False
Girardia spelaea,2304203,True,False
Hylodes sazimai,784488,True,False
Celeus obrieni,1320231,True,False
Harmonicon cerberus,2024015,True,False
Apostolepis phillipsi,1955352,True,False
Ophthalmolebias ilheusensis,1501675,True,False
Mesaphorura maricaensis,2024554,True,False
Hasemania piatan,1809119,True,False
Maxchernes iporangae,1319884,True,False
Pristis pectinata,2303392,True,False
Melanorivulus pinima,2025522,True,False
Colobodactylus dalcyanus,238315,True,False
Allokoenenia canhembora,2303884,True,False
Hypleurochilus brasil,2025587,True,False
Trichechus manatus,7878,True,False
Leposoma baturitensis,489292,True,False
Endecous apterus,2028017,True,False
Eukoenenia cavatica,2027994,True,False
Amphisbaena supernumeraria,2023232,True,False
Aburria jacutinga,1063250,True,False
Hyporthodus nigritus,1675171,True,False
Centris thelyopsis,2302170,True,False
Garcialebias cheffei,2479179,True,False
Oncinocampa trajanoae,2028024,True,False
Eukoenenia maquinensis,2024067,True,False
Hylodes magalhaesi,828616,True,False
Phaneromerium troglopterygotum,2303909,True,False
Garcialebias nachtigalli,2479181,True,False
Trichechus inunguis,7879,True,False
Crossodactylodes itambe,2025781,True,False
Coarazuphium tapiaguassu,2024689,True,False
Aegla inconspicua,2025190,True,False
Psilops seductus,2301656,True,False
Strix huhula albomarginata,2026042,True,False
Ancistrus cryptophthalmus,866752,True,False
Phalotris multipunctatus,1685334,True,False
Ochyrocera ritxoco,2303602,True,False
Sclerurus caudacutus caligineus,2025923,True,False
Callistomys pictus,17470,True,False
Cebus kaapori,10846,True,False
Amydetes bellorum,2024721,True,False
Acantholebias quirogai,2479205,True,False
Pseudochthonius diamachi,2303615,True,False
Drymusa spelunca,1376106,True,False
Rodriguesophis scriptorcibatus,2026156,True,False
Nyceryx mielkei,2025097,True,False
Calidris canutus,2022896,True,False
Platyrinchus leucoryphus,2302344,True,False
Neomorphus geoffroyi geoffroyi,2025824,True,False
Erebonyx catacumbae,2304156,True,False
