nome_cientifico,nome_popular,reino,filo,classe,ordem,familia,genero,grupo_taxonomico
Kryptolebias brasiliensis,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Kryptolebias,peixes
Glaucomastix littoralis,Calango,Animalia,Chordata,Reptilia,Squamata,Teiidae,Glaucomastix,repteis
Pyrrhura lepida,periquitão-paraense,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Pyrrhura,aves
Crossodactylus franciscanus,,Animalia,Chordata,Amphibia,Anura,Hylodidae,Crossodactylus,anfibios
Priodontes maximus,Tatu-Canastra,Animalia,Chordata,Mammalia,Cingulata,Chlamyphoridae,Priodontes,mamiferos
Heteroxolmis dominicanus,noivinha-de-rabo-preto,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Heteroxolmis,aves
Tapirus terrestris,Anta,Animalia,Chordata,Mammalia,Perissodactyla,Tapiridae,Tapirus,mamiferos
Rhipidodonta garbei,Bivalve,Animalia,Mollusca,Bivalvia,Unionida,Hyriidae,Rhipidodonta,moluscos
Psalidodon crenuchoides,,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Psalidodon,peixes
Arhysosage biguttulata,,Animalia,Arthropoda,Insecta,Hymenoptera,Andrenidae,Arhysosage,insetos
Pogonias courbina,,Animalia,Chordata,Actinopterygii,Acanthuriformes,Sciaenidae,Pogonias,peixes
Pampasatyrus glaucope eberti,borboleta,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pampasatyrus,insetos
Sternarchorhynchus kokraimoro,Sarapó,Animalia,Chordata,Actinopterygii,Gymnotiformes,Apteronotidae,Sternarchorhynchus,peixes
Apostolepis quirogai,Cabeça-Preta-de-Rabo-Preto,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Apostolepis,repteis
Arlea psammophila,,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Isotomidae,Arlea,outros
Pampasatyrus glaucope boenninghauseni,borboleta,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Pampasatyrus,insetos
Isotomurus riparius,,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Isotomidae,Isotomurus,outros
Starksia multilepis,Labrisômo-de-Noronha,Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae,Starksia,peixes
Ctenomys lami,Tuco- tuco-do-Lami,Animalia,Chordata,Mammalia,Rodentia,Ctenomyidae,Ctenomys,mamiferos
Coarazuphium pains,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Coarazuphium,insetos
Cartagonum apiuba,,Animalia,Arthropoda,Insecta,Coleoptera,Lycidae,Cartagonum,insetos
Oreaster reticulatus,Estrela-almofada-vermelha,Animalia,Echinodermata,Asteroidea,Valvatida,Oreasteridae,Oreaster,outros
Sclerurus caudacutus umbretta,Vira-folha-pardo-do-sudeste,Animalia,Chordata,Aves,Passeriformes,Scleruridae,Sclerurus,aves
Sternarchorhynchus higuchii,Sarapó,Animalia,Chordata,Actinopterygii,Gymnotiformes,Apteronotidae,Sternarchorhynchus,peixes
Pterodroma deserta,freira-das-desertas,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,aves
Steindachneridion scriptum,Bocudo,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Steindachneridion,peixes
Campellolebias intermedius,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Campellolebias,peixes
Oligoneuria amandae,,Animalia,Arthropoda,Insecta,Ephemeroptera,Oligoneuriidae,Oligoneuria,insetos
Ctenomys minutus,Tuco- tuco,Animalia,Chordata,Mammalia,Rodentia,Ctenomyidae,Ctenomys,mamiferos
Formicivora paludicola,bicudinho-do-brejo-paulista,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Formicivora,aves
Hemitriccus kaempferi,falso-tódi-catarinense,Animalia,Chordata,Aves,Passeriformes,Rhynchocyclidae,Hemitriccus,aves
